userId,movieId,rating,tmdbId
1,1,4,862
5,1,4,862
7,1,4.5,862
15,1,2.5,862
17,1,4.5,862
18,1,3.5,862
19,1,4,862
21,1,3.5,862
27,1,3,862
31,1,5,862
32,1,3,862
33,1,3,862
40,1,5,862
43,1,5,862
44,1,3,862
45,1,4,862
46,1,5,862
50,1,3,862
54,1,3,862
57,1,5,862
63,1,5,862
64,1,4,862
66,1,4,862
68,1,2.5,862
71,1,5,862
73,1,4.5,862
76,1,0.5,862
78,1,4,862
82,1,2.5,862
86,1,4,862
89,1,3,862
90,1,3,862
91,1,4,862
93,1,3,862
96,1,5,862
98,1,4.5,862
103,1,4,862
107,1,4,862
112,1,3,862
119,1,3.5,862
121,1,4,862
124,1,4,862
130,1,3,862
132,1,2,862
134,1,3,862
135,1,4,862
137,1,4,862
140,1,3,862
141,1,4,862
144,1,3.5,862
145,1,5,862
151,1,5,862
153,1,2,862
155,1,3,862
156,1,4,862
159,1,4.5,862
160,1,4,862
161,1,4,862
166,1,5,862
167,1,3.5,862
169,1,4.5,862
171,1,5,862
177,1,5,862
178,1,4,862
179,1,4,862
182,1,4,862
185,1,4,862
186,1,4,862
191,1,4,862
193,1,2,862
200,1,3.5,862
201,1,5,862
202,1,4,862
206,1,5,862
213,1,3.5,862
214,1,3,862
216,1,3,862
217,1,4,862
219,1,3.5,862
220,1,5,862
223,1,3.5,862
226,1,3.5,862
229,1,5,862
232,1,3.5,862
233,1,3,862
234,1,5,862
239,1,4,862
240,1,5,862
247,1,5,862
249,1,4,862
252,1,4.5,862
254,1,4.5,862
263,1,4,862
264,1,4,862
266,1,2,862
269,1,5,862
270,1,5,862
273,1,5,862
274,1,4,862
275,1,5,862
276,1,4,862
277,1,4,862
279,1,3,862
280,1,4.5,862
282,1,4.5,862
283,1,3,862
288,1,4.5,862
290,1,4,862
291,1,4,862
292,1,4,862
293,1,3,862
298,1,2,862
304,1,5,862
307,1,4,862
314,1,3,862
322,1,3.5,862
323,1,3.5,862
328,1,5,862
330,1,4,862
332,1,4,862
334,1,3.5,862
336,1,4,862
337,1,4,862
339,1,4,862
341,1,5,862
347,1,5,862
350,1,4,862
353,1,5,862
357,1,5,862
359,1,4,862
364,1,5,862
367,1,5,862
372,1,3,862
373,1,3,862
378,1,4.5,862
380,1,5,862
381,1,3.5,862
382,1,4.5,862
385,1,4,862
389,1,5,862
391,1,3,862
396,1,5,862
399,1,4,862
401,1,3.5,862
411,1,5,862
412,1,2,862
414,1,4,862
420,1,4,862
422,1,4,862
432,1,2.5,862
434,1,4,862
436,1,4,862
438,1,4.5,862
443,1,4,862
448,1,5,862
451,1,5,862
453,1,5,862
456,1,5,862
460,1,4.5,862
462,1,1.5,862
468,1,4,862
469,1,4,862
470,1,4,862
471,1,5,862
474,1,4,862
476,1,4,862
477,1,4,862
480,1,3,862
483,1,4,862
484,1,4.5,862
488,1,4.5,862
490,1,3.5,862
492,1,4,862
500,1,4,862
504,1,4,862
509,1,4,862
514,1,4,862
517,1,4,862
522,1,3,862
524,1,4,862
525,1,4,862
528,1,2.5,862
529,1,3,862
533,1,5,862
534,1,4,862
541,1,3,862
544,1,3,862
550,1,4,862
555,1,4,862
559,1,5,862
560,1,3,862
561,1,4,862
562,1,4.5,862
567,1,3.5,862
570,1,4,862
572,1,4,862
573,1,5,862
579,1,4,862
580,1,3,862
584,1,5,862
587,1,5,862
590,1,4,862
596,1,4,862
597,1,4,862
599,1,3,862
600,1,2.5,862
601,1,4,862
603,1,4,862
604,1,3,862
605,1,4,862
606,1,2.5,862
607,1,4,862
608,1,2.5,862
609,1,3,862
610,1,5,862
611,1,4,862
1,3,4,15602
6,3,5,15602
19,3,3,15602
32,3,3,15602
42,3,4,15602
43,3,5,15602
44,3,3,15602
51,3,4,15602
58,3,3,15602
64,3,3.5,15602
68,3,2,15602
91,3,3,15602
100,3,3.5,15602
102,3,5,15602
116,3,3.5,15602
117,3,3,15602
150,3,3,15602
151,3,3,15602
169,3,5,15602
179,3,4,15602
217,3,1,15602
226,3,3.5,15602
240,3,4,15602
269,3,4,15602
270,3,3,15602
288,3,4,15602
289,3,2.5,15602
294,3,1,15602
302,3,3,15602
307,3,3.5,15602
308,3,0.5,15602
321,3,3,15602
330,3,3,15602
337,3,4,15602
368,3,3,15602
410,3,4,15602
